tconst,originalTitle,year,genres,Rating,director,plot
tt11545370,Mission Ulja Funk,2021,"Adventure,Family",6.9,Barbara Kronenberg,Plot not available
tt11547828,Echoes of Violence,2021,"Crime,Drama,Thriller",5.2,Nicholas Woods,A man with a fragile state of mind will battle with his past in the effort to understand who he has become and which actions he thinks to have committed.
tt11547982,The 2:11 Home,2021,Family,5.5,Jim Huggins,"12 year old astronomy geek Uja, armed with a stolen hearse and a classmate as driver, journeys across Eastern Europe to monitor the impact of an asteroid."
tt11548822,Cow,2021,Documentary,7.1,Andrea Arnold,An honest policeman's quest to nab a dreaded criminal.
tt11552344,Murder at Yellowstone City,2022,"Crime,Drama,Mystery",5.3,Richard Gray,"The simple question: ""How does a woman get pregnant?"" forever shatters the childhood of a preteen girl entering into an innocent love triangle."
tt11552492,Forbidden Womanhood,2022,Drama,7.5,Maryam Zahirimehr,An immigrant travels from Sedona to Los Angeles to seek revenge against the immigration lawyer who ruined her life.
tt11554404,The Game,2021,"Action,Drama",6.8,Suranga de Alwis,"A former slave arrives in Yellowstone City, Montana, a desolate former boomtown now on the decline, looking for a place to call home. On that same day, a local prospector discovers gold - and is murdered."
tt11557850,Ingress,2023,Sci-Fi,7.3,Rachel Noll James,"In Libya, two siblings put their heart and soul into the future of their country during the 2011 revolution, but each on a different side: he supported Gaddafi, she was one of the ""rebels"". Now belonging to the ruling class, she is again standing up for the oppressed and seeking rehabilitation for people like her brother. We follow these fervent, resilient siblings ov... Read all"
tt11560898,After a Revolution,2021,"Documentary,Drama,War",7.4,Giovanni Buccomino,A woman who can move between parallel realities loses her husband tragically and must overcome past trauma to travel the multiverse once again and find her way into a reality where he is still alive.
tt11563100,Traces of Madness,2021,Drama,5.1,Michele Di Rienzo,A close-up portrait of the daily lives of two cows.
tt11563364,Repeat,2021,"Drama,Mystery,Sci-Fi",5.4,"Grant Archer, Richard Miller","Paul McAllister seems to have it all, but his life starts to fall apart. Guided by the wisdom and advice of an old golf pro, Paul learns about playing a good game both on and off the course."
tt11563740,Grim,2022,Crime,7.0,Chey Loran,"A cognitive psychologist's experiment allows communication with the afterlife. His daughter's peril forces him to use his discovery, despite risks, to uncover the truth and save her."
tt11563926,The Mulligan,2022,Drama,5.5,Michael O. Sajbel,Three young women come up with a plan to rob their dangerous boss. The girls' plan doesn't go according to plan and they get into something much bigger than they thought possible.
tt11564570,Glass Onion,2022,"Comedy,Crime,Drama",7.1,Rian Johnson,The Female Protagonist is a Mute. After her marriage the couple enters a new chapter of their life but face another dilemma which they least expect. They experience paranormal incidents and their daily life turns into a mysterious tale.
tt11565160,The Y,2023,"Horror,Mystery,Thriller",5.4,Girideva Raaj,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
tt11568122,Body-Buildings,2021,Drama,7.8,Henrique Pina,"Guy Clark, the dean of Texas songwriters, struggles to write poetic songs while balancing a complicated marriage with wife Susanna, and a deep friendship with writer Townes Van Zandt, who Susanna forged a passionate dependence on."
tt11569608,San cha ji,2024,"Crime,Drama",5.1,Qunshu Gao,"BODY-BUILDINGS brings together dance, architecture and cinema, merging identities and concepts. Six choreographies created for six works of architecture in six locations in Portugal. Future memories are drawn."
tt11574990,Without Getting Killed or Caught,2021,Documentary,8.1,Tamara Saviano,"The era of the new generation is coming. While the Internet, artificial intelligence and other high technologies are applied in all aspects of life, crime technology and criminal investigation are also upgrading day by day."
tt11575358,A Gaza Weekend,2022,Comedy,6.4,Basil Khalil,A British journalist tries to escape Israel after the UN imposes an embargo from land air and sea due to the spreading of a virus. Gaza becomes the safest place in the region.
tt11575698,Breathe: A Tabiyus Film,2024,"Crime,Drama,Music",5.8,Frederick Tabiyus Nah IV,"""BREATHE"" unravels the lives of a suburban LA community ensnared by drug trade. Interwoven fates collide, forcing them to confront their darkest truths and navigate loyalty, ultimately leading to a tragic, irreversible transformation."
tt11584270,Still Human,2022,Documentary,9.1,David Albert Habif,"After being released from prison in New York City, a Brazilian man discovers that his ex-fiancée has disappeared, leaving behind a six-year-old son. The duo ventures into the city's dangerous underworld of illegal immigration to find her."
tt11584538,Dancing Through the Shadow,2021,Drama,8.6,Leif Bristow,A social examination of the two cities of Mumbai and Los Angeles and the struggles and causes of the most disenfranchised populations in these systems.
tt11585016,The Ballad of a Hustler,2023,Drama,8.6,Heitor Dhalia,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow."
tt11585506,Battle for the Western Front,2022,War,6.2,Aaron Huggett,"This is a riveting narrative of the life of Tia Zhang, a young Chinese ballerina who came of age during the reign of Mao Zedong. The story takes place in Beijing, China, and spans over a period of nearly 50 years, blending the most intimate moments of Tia's personal life with a whirlwind of horrific historic events. At the age of twenty, she was promised to an arrange... Read all"
tt11586384,Masking Threshold,2021,"Drama,Fantasy,Horror",5.7,Johannes Grenzfurthner,"A priest and a police officer are trying to solve a set of mysterious suicides. As their investigation closes in, they discover another crime with even farther-reaching consequences."
tt11591306,The Priest,2021,"Horror,Mystery,Thriller",6.0,Jofin T. Chacko,Two documentary filmmakers and an ex-cop investigate the disappearance of a young girl that is rumored to have been abducted by a witch in the haunted woods of Connecticut.
tt11591360,Witch Trials,2022,Horror,5.4,Christopher M. Don,"Conducting a series of experiments in his makeshift home-lab, a skeptic IT worker tries to cure his harrowing hearing impairment."
tt11594766,The Secret Diary of an Exchange Student,2021,"Comedy,Romance",5.4,Bruno Garotti,"When a self-destructive teenager is suspended from school and asked to look after his feisty alcoholic grandmother as a punishment, the crazy time they spend together turns his life around."
tt11599576,Juniper,2021,Drama,6.5,Matthew J. Saville,"Looking to shake things up, two best friends embark on a life-changing adventure abroad as exchange students. But can they stay out of trouble?"
tt11602002,My Shattered Life,2022,Drama,7.9,Antione Manuel Way,This story follows Flip and his three friends. Flip is going through life adversities and is heading down the wrong path. Flip makes a choice that not only affects his life forever but his friends and community.
tt11602542,Bonnie,2022,Documentary,7.1,Simon Wallon,A portrait of legendary casting director Bonnie Timmermann. An homage to the craft of acting.
tt11602582,Love or Money,2021,"Comedy,Drama,Romance",6.1,Mae Czarina Cruz,"Despite their attraction to each other and Leon's persistence in pursuing Angel, the latter's dream of becoming rich prevents them from having a lasting relationship."
tt1160419,Dune: Part One,2021,"Action,Adventure,Drama",8.0,Denis Villeneuve,Bubba Wayne Bundy along with the help of his brother John Edward Bundy are two madman who gets off on kidnapping woman and dressing them up.
tt11609174,The Wedding Pact 2: The Baby Pact,2022,Comedy,6.0,Matt Berman,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
tt11609250,Backwoods Bubba (Full movie),2021,Horror,5.3,James B. Thomasson,Plot not available
tt11610504,The Bridge,2022,Drama,8.0,Ravindra Ram Patil,A major event happens in Elizabeth's life that causes her to leave Boston .
tt11610882,Austral,2022,Documentary,7.5,Benjamin Colaux,"When the pastor of a local church is murdered, a priest is sent to a problematic village where criminals and criminal activities thrive."
tt11613450,Sanctified,2022,Western,5.2,Nickolaus Swedlund,An outlaw is rescued from death by a nun who is traveling through 1890 North Dakota. She nurses him back to health in exchange for him guiding her to a Church deep in the Badlands.
tt11619524,The Bystanders,2022,Comedy,7.1,Gabriel Foster Prior,"At the end of the world, three men face the southern sea and its dangers. They leave their families, brave the cold and the storms to meet isolated fishermen in the sadly famous islands of the far south of Chile."
tt11622922,The Drummer,2022,Drama,7.1,Kote Kalandadze,A promising young musician is forced to reassess his life when he finds himself in the middle of a confrontation between drug dealers and corrupt cops in modern Georgia.
tt11623854,Varayan,2022,"Action,Drama",5.1,Jijo Joseph,An off-the-wall comedy set in the world of the Bystanders - invisible immortals who watch over their human subjects and intervene in (or interfere with) their lives.
tt11628208,North of Normal,2022,Drama,6.4,Carly Stone,"After being raised in the wilderness, a teenage girl moves to the city hoping for a normal life with her anything but normal mother."
tt11628854,Silent Night,2021,"Comedy,Drama,Horror",5.8,Camille Griffin,"Nell, Simon, and their 3 sons are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die."
tt11631200,223 Wick,2022,"Fantasy,Thriller",5.7,Sergio Myers,An intimate look at lambic beer and three of its most revered brewers and blenders as they each navigate the growing demands of consumers today.
tt11633840,Bottle Conditioned,2023,Documentary,9.1,Jerry Franck,"This extremely touching film reveals the everyday lives of kids with different disabilities and how ballet has changed their lives. The film explores the lives of five kids, and their incredible dance teacher, as they prepare for an emotional end-of-year dance recital."
tt11638744,Everybody Dance,2022,Documentary,8.7,Dan Watt,"A. E. Staley went from growing up barefoot on a farm in North Carolina, to building a billion dollar agribusiness giant. He was the original owner of the football team that eventually became the Chicago Bears."
tt11638966,Fields of Gold,2023,Documentary,8.7,Julie Staley,"Plagued by visions and nightmares, a catholic priest is ousted from his parish. With nowhere to turn he follows the sinister visions calling him and discovers a deal he alone must stop."
tt11639296,The Matter of Life,2021,Documentary,8.1,Tracy Robinson,"A journey to unravel the complexities of the abortion issue through science, philosophy, history and powerful personal stories. The film answers hard questions and provides hope for the future."
tt11639966,Peace in the Valley,2022,Drama,6.5,Tyler Riggs,A soldier and a police officer join forces to bring down a cyber hacker.
tt11640022,Chakra,2021,"Action,Crime,Thriller",6.3,Anandan .M.S.,"In the aftermath of a senseless act of violence, a young mother must learn to manage her overwhelming grief-not only for her own peace of mind but for the sake of her young son."
tt11640536,The Middle Man,2021,"Comedy,Drama",5.9,Bent Hamer,"Frank Farrelli takes on the job as a middle man in the God-forsaken town of Karmack, USA, a community in a depression so deep that they need a middle man to professionally communicate more of the bad news."
tt11641654,Gabriel's Rapture: Part One,2021,Romance,5.7,Tosca Musk,Based on the best selling novel from by Sylvain Reynard.
tt11644948,Unzipped: An Autopsy of American Inequality,2021,Documentary,7.2,Colin K. Gray,Feature doc about the growing affordable housing crisis in America. Filmmakers follow families in iconic Venice CA 90291 while investigating plans for a controversial new homeless shelter.
tt11646392,Savage Waters,2022,"Adventure,Documentary",8.8,Michael Corker,"A conflict between Dalits and Kamma landlords which is based on the Karamchedu massacre, that happened in 1985."
tt11647490,Sica,2023,Drama,5.7,Carla Subirana,"A group of top-notch teenage riders compete against one another for the chance to make it to the world's leading motorized academy in Daytona, Florida. Only this year, the competition includes both female and male riders. Will the female riders be given the chance to shatter the glass ceiling they've been competing against all their lives? Or will old world prejudices... Read all"
tt11647568,Full Speed,2021,Action,6.3,Kobi Machat,"When an intern at a Senior Center challenges an elderly Native American woman to dream again, she evaluates her frail body and mind before setting out on a life changing journey."
tt11648514,Narappa,2021,"Action,Drama",7.7,Srikanth Addala,"Young Italian Michele, who has Ukrainian roots, goes to an abandoned Carpathian village to dispel the dust of his mother. Here he meets his grandfather Michael. This unexpected meeting changes their lives forever."
tt11649842,We Are All in This Together,2024,Documentary,9.3,Daniel Troia,"Waiting for answers that don't seem to come, Sica stares at the waves. Her father, a fisherman, drowned in the sea. In an isolated corner of the world, Sica doesn't lose hope. Even if she needs to go against the current."
tt11650320,My Carpathian Grandpa,2023,"Comedy,Drama,Family",7.0,Zaza Buadze,"During divisive times in America, a man sets off on a cross-country bicycle journey with no food, no money and in search of human connection."
tt11650502,Touch the Water,2023,Drama,8.1,Travis Holt Hamilton,A tantalising passage in a 19th century treasure hunter's journal inspires modern adventurers to find and surf a spectacular wave in some of the most remote and dangerous waters of the Atlantic ocean.
tt11651458,Women in the Front Seat,2023,Documentary,8.8,Maninder K. Saini,"Fierce, Bold, Fast, Brave. Women in the Front Seat paints a vibrant and diverse picture of women who not only drive their motorcycles but drive their lives. Filmmaker Indy Saini challenges her own fears to capture their inspiring stories."
tt11651550,Operation Java,2021,"Crime,Drama,Thriller",8.1,Tharun Moorthy,"The story revolves around a group of officers and a series of mysteries, events and cases reported before them in the Cyber Cell. It is also about how they plan and execute their operations."
tt11651640,The Sudbury Devil,2023,"History,Horror,Thriller",6.6,Andrew Rakich,Plot not available
tt11651668,Ruby's Choice,2022,"Comedy,Drama",6.4,Michael Budd,"In the late 17th century, two Puritan witch hunters travel to a small Massachusetts town investigating rumors of devil worship, and are irrevocably transformed by the ungodly forces they encounter."
tt11653688,Local Utpaat,2022,"Action,Comedy",8.8,Kenny Basumatary,"The next chapter in the acclaimed SOMM films, the Cup of Salvation dives into what wine truly means to human history and the land we inhabit."
tt11654554,The Fragile King,2022,Drama,5.5,Tristan Holmes,"Over six years, a couple battles to stay together as one of them transitions genders; confronting the effects of new body parts, changing gender roles as well as navigating their own evolving sexual identities."
tt11656704,Cup of Salvation,2023,Documentary,8.2,Jason Wise,"After being forced to share her room with her dementia-suffering grandmother, a teen's resentment turns to love as she uncovers family secrets and gains a new understanding of her grandmother's past."
tt11656984,Final 48,2021,Drama,8.3,Lisa Sanow,"Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
tt11657324,Girl Like You,2021,Documentary,8.0,"Frances Elliott, Samantha Marlowe","Frank and Bruno, two drifters, ally themselves with Linde on a quest to recover her land, trekking across the rugged terrain of 1870s Southern Arizona to locate an elusive frontier musician."
tt11657662,The Witcher: Nightmare of the Wolf,2021,"Action,Adventure,Animation",7.2,Kwang Il Han,"Gerald King, who is closer to death than life gets dumped with his 15 -year-old grandson, when the child's mother dies in a drunken car crash. Both the boy and grandfather are shocked into a new reality."
tt11658862,Antardhaan,2021,Thriller,6.0,Arindam Bhattacharya,"To receive their inheritance, business magnate Hudson Graham has mandated his surviving family members return to their homestead and spend his final hours together under one roof."
tt11662660,Quantum Cowboys,2022,"Animation,Comedy,Sci-Fi",6.1,Geoff Marslett,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.
tt11664150,Rise and Fall of Comrade Zylo,2022,"Comedy,Drama",6.8,Fatmir Koçi,"A girl leaves her house telling her parents that she's going on an outing with her friends. When she doesn't return, her parents suspect that she might have been kidnapped. Surprisingly, there is no call demanding ransom."
tt11671006,The Man from Toronto,2022,"Action,Adventure,Comedy",5.8,Patrick Hughes,"Adaptation of Albanian novel, the narrative, set during the Soviet Regime in the 70's, focuses on the exploits of Comrade Zylo, a bureaucrat at the Ministry of Culture. To impress his superiors and party members ,Comrade Zylo manipulates Demka, an aspiring frustrated author to write on his behalf phenomenal speeches and reports based on Zylo's wildly improbable theori... Read all"
tt11674730,The Last Stop in Yuma County,2023,"Crime,Thriller",6.9,Francis Galluppi,An emotionally overwhelming voyage; a quest for personal freedom that will inspire and impress the audience to appreciate the value of liberty and human rights.
tt11678806,Box of Freedom,2021,"Comedy,Drama",7.6,Adelina Suvagau,"This multi award-winning British feature film follows a grieving ex-English teacher as he takes us on a personal journey through Broken Britain under Margaret Thatcher in the 1980s, John Major in the 1990s and Boris Johnson in the 2020s."
tt11680920,Music School,2023,"Drama,Musical",6.2,Paparao Biyyala,"This heart-warming 11-song musical is about how the prevailing Indian education system and parents put pressure on children to be competitive in their ""studies, thereby leaving no time for art and culture. Against this background, two music and drama teachers Mary and Manoj struggle to put up ""The Sound of Music""."
tt11680986,Pulse,2021,"Drama,Sport",7.0,Sergii Chebotarenko,A love letter to the joys and pleasures of champagne.
tt11682642,Sparkling: The Story of Champagne,2021,Documentary,5.5,Frank Mannion,"The film's plot is based on a real story of Oksana Boturchuk, a Ukrainian track-and-field athlete and Paralympic champion of 2008, five-time silver and bronze winner at Summer Paralympics of 2008, 2012 and 2016."
tt11684438,Nobody Loves You and You Don't Deserve to Exist,2022,"Drama,Mystery",7.4,Brett Gregory,"While stranded at a rural Arizona rest stop, a traveling salesman is thrust into a dire hostage situation by the arrival of two bank robbers with no qualms about using cruelty-or cold, hard steel-to protect their bloodstained fortune."
tt11684668,In the Dark of the Valley,2021,"Documentary,History",7.6,Nicholas Mihm,"After living life on the edge in London, Rona attempts to come to terms with her troubled past. Hoping to heal, she returns to the wild beauty of Scotland's Orkney Islands where she grew up."
tt11686490,The Deep House,2021,"Drama,Horror,Mystery",5.3,"Alexandre Bustillo, Julien Maury","While diving in a remote French lake, a couple who specialize in urban exploration videos discover a house submerged in deep waters. Their dive turns into a nightmare when they discover the house was the scene of atrocious crimes."
tt11687002,The Outrun,2024,Drama,7.2,Nora Fingscheidt,A young woman trapped in an abusive relationship becomes the unwitting participant in an intervention staged by her two closest friends.
tt11687104,"Alice, Darling",2022,"Drama,Romance,Thriller",5.5,Mary Nighy,A group of mothers discover that the Santa Susana Field Laboratory was the site of one of the largest nuclear accidents in United States history; and may have exposed their children and their community to cancer-causing hazardous waste.
tt11687154,Yellow Oleander,2022,"Comedy,Drama",6.4,Lachezar Avramov,Join Martin on a personal journey spanning 30 years through the unique perspectives afforded by autism and psychosis.
tt11687178,The Hills I Call Home,2021,Documentary,8.1,Ashton Gleckman,Brave and resilient sex trafficking survivors around the world share their struggles to break free from their past and find hope for the future.
tt11690034,Doom Island,2022,"Biography,Drama,Fantasy",8.7,Martin Ostrom,"Scandalous Italian ex-premier arrives in Bulgaria to support the EU parliament application of a Bulgarian politician. The host and his much younger wife invite the ex-premier to a remote villa. A dead body, naughty adventures and many compromising events happen before the true greedy, traitorous and selfish nature of the host shines bright among the awkward circumstan... Read all"
tt11690150,Hood River,2021,Documentary,6.6,"Steven Cantor, Jonathan Field","An intimate look inside the small town of Beattyville, located deep in the heart of America's Appalachian mountains."
tt11691034,Surviving Sex Trafficking,2021,Documentary,7.5,Sadhvi Siddhali Shree,"In a small Oregon community, a high school soccer team struggles to overcome class and racial divide in a quest for both individual and team success. While Domingo deals with the deportation of his father to Mexico, and Eric painfully learns how to become a captain and command the respect of his Mexican-American teammates, Coach Riviera struggles to keep the team toge... Read all"
tt11692070,Dolphin Island,2021,"Drama,Family",5.1,Mike Disa,"Petyo, who is 7 is impatient to start his first year at school. His mom lies to him that his father had to travel abroad and sends him to her parents' village. There Petyo finds friendship with Filip when they both stand up against the Truth Gang."
tt11692284,1947 Boston,2023,"Biography,Drama,Sport",7.0,Kang Je-kyu,"A story of national marathoners who want to run again after Korea's liberation, and their quest to compete in their first international marathon."
tt11692404,Bulgarian Ship Sinks,2022,Family,6.8,Petrinel Gochev,"After losing her parents, teenager Annabel Coleridge lives with her fisherman grandfather on a Caribbean island paradise surrounded by an extended family of loving but quirky oddballs and her best friend, a dolphin named Mitzy. Everything changes when her rich maternal grandparents arrive with a shifty lawyer to bring her back to New York. It's up to her grandfather, ... Read all"
tt11692772,Don't Fall in Love with Yourself,2022,"Documentary,Music",7.6,Jon Nix,Two Monster Hunters race against the clock to save a possessed girl before it's too late for everyone.
tt11694190,Parallels,2023,"Drama,Horror,Thriller",5.8,Daniel Goad,"Strength Wars: The Movie follows the lives of eight athletes preparing for the ultimate strength competition. The prize? To be labeled the strongest man in the world. Putting two different types of athletes against each other, Strength Wars is the ultimate proving ground to test any given athlete's true strength. Eight athletes. Eight athletic disciplines. One winner.... Read all"
tt11697672,Strength Wars,2021,Documentary,8.1,Vlad Yudin,A documentary about the life and music of Justin Pearson. An enigmatic underground musician and owner of Three One G records.
tt11697836,Do Not Argue with the Staff at the Baths,2021,Drama,7.0,Ivan Tscherkelov,Clemence returns home after dropping out of college with a newly diagnosed mental illness.
tt11700754,Mayberry Man,2021,Comedy,5.5,Stark Howell,"A brother and a sister who seek, miss and get close to each-other while also being in the turmoil of life. The brother is sunk in childhood memories, while the sister is dying of cancer. The discover each-other after a lot of years, discovered their essence as human beings."
tt11702252,The Year Between,2022,"Comedy,Drama",6.1,Alex Heller,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
tt11703050,The House,2022,"Animation,Comedy,Drama",6.8,"Paloma Baeza, Emma De Swaef, Niki Lindroth von Bahr, Marc James Roels","An arrogant movie star is sentenced by a small-town judge to attend a week-long festival celebrating ""The Andy Griffith Show."""
tt11703244,The Blackening,2022,"Comedy,Horror,Mystery",6.0,Tim Story,"After 13 years, Tsitsi (31) initiates a reunion of his former classmates with a seemingly harmless cause: they have not seen each other since graduation and the reason for the gathering is to remember school and have a drink. However, Tsitsi has a secret motivation: he wants to punish his former classmate, Guga (31), who used to make life difficult for the entire clas... Read all"
tt11703710,Downton Abbey: A New Era,2022,"Drama,Romance",7.4,Simon Curtis,Seven friends go away for the weekend and end up trapped in a cabin with a killer who has a vendetta. Will their street smarts and knowledge of horror movies help them stay alive? Probably not.
tt11703882,Didi shesveneba,2022,Drama,6.6,Davit Pirtskhalava,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.
tt11704760,Weekend,2021,Comedy,8.5,Sami Koujan,"After a bad breakup, Ariane moves home and gets a job as an interpreter for seasonal migrant workers. Witnessing workplace abuses, Ariane must decide how far she is willing to go to speak out against injustice."
tt11706872,Richelieu,2023,Drama,7.6,Pier-Philippe Chevigny,"A beautiful weekend goes horribly wrong when Omar meets his girlfriend's mother Samar, that he know really well."
tt11709094,Pratidwandi,2021,"Crime,Mystery,Thriller",6.3,Saptaswa Basu,"Documentary that chronicles the life of four men who practice cross-dressing. Their fascination with the feminine, years of guilt and fear have led them to have a double life, until the world they had created begins to crumble."
tt11710090,Nussa: The Movie,2021,"Adventure,Animation,Comedy",7.3,Bony Wirasmono,Nussa's life changed when he met a new friend who was much more liked by his friends than himself.
tt11713598,Cross Dreamers,2022,Documentary,8.2,Soledad Velasco,"Lumo Project Films presents The Covenant, a captivating film rooted in the Torah, bringing to life the stories of Adam and Eve, Noah, Abraham, Moses, and more. A Word-for word narration of the first five books of the Bible."
tt11718526,Ninnila Ninnila,2021,"Comedy,Romance",7.5,Ani. I.V. Sasi,A crisis management agency tries to solve a high profile kidnapping case while fighting with the law and their inner demons
tt11718596,The Covenant,2023,Drama,8.1,"David Batty, Ben Hilton","Aranjali is all set to celebrate the annual temple festival. Some unforeseen chain of events involving an elephant, a few young men, a notorious criminal, a drama troop and some trouble-loving villagers brings complete mayhem to the place."
tt11718902,Ajagajantharam,2021,"Action,Comedy",6.7,Tinu Pappachan,"In London, Dev, an overweight, genius chef who suffers with muscle spasms, meets Tara and love blossoms, but things take an interesting turn when he crosses paths with Maya."
tt11719504,L'Invitation,2022,Documentary,7.8,Fabrizio Maltese,"It's a story about Gunjor Kaur, a college student, who is in love with Navjyot, son of a businessman from Amritsar, Balwant Singh. Will Guri and Navjot succeed in their plan to convince their families?"
tt11720140,Teri Meri Gal Ban Gayi,2022,Drama,6.8,"Preeti Sapru, Swapnil Arora, Anand Shankar Muppanar","An invitation from Timbuktu director Abderrahmane Sissako to visit and film his homeland, Mauritania, results in an epic yet ultimately intimate journey that retraces the threads of a relationship interrupted all too soon."
tt11724384,I Wish I Never Met You,2022,Drama,5.8,Kristina LaFerne Roberts,"A fictional autobiography about an insecure, awkward and lonely actor who goes on an unwitting journey of self-love in the midst of an eating disorder relapse."
